,R_fighter,B_fighter,Referee,date,location,Winner,Title Fight,weight_class,B Rounds,B Title Fights,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_Stance,B_Weight_lbs,R Rounds,R Title Fights,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_Stance,R_Weight_lbs,B_age,R_age,R_Age Range,B_Age Range
4218,Joe Riggs,Jason Von Flue,Steve Mazzagatti,8/17/2006,"Las Vegas, Nevada, USA",Red,False,Welterweight,6,0,1,0,1,1,1,0,0,0,1,Orthodox,170,10,0,1,0,1,3,3,0,1,1,0,Southpaw,185,31.0,23.0,Young Prospect,Experienced
4219,Diego Sanchez,Karo Parisyan,John McCarthy,8/17/2006,"Las Vegas, Nevada, USA",Red,False,Welterweight,14,0,1,0,4,5,1,0,2,1,1,Orthodox,170,9,1,4,0,4,4,0,0,2,2,0,Southpaw,170,23.0,24.0,Young Prospect,Young Prospect
4220,Josh Koscheck,Jonathan Goulet,John McCarthy,8/17/2006,"Las Vegas, Nevada, USA",Red,False,Welterweight,7,0,1,0,1,2,1,0,0,0,0,Orthodox,170,9,0,2,0,2,4,1,0,1,1,2,Orthodox,170,27.0,28.0,Experienced,Young Prospect
4221,Tito Ortiz,Ken Shamrock,Herb Dean,7/8/2006,"Las Vegas, Nevada, USA",Red,False,LightHeavyweight,17,1,2,0,2,6,5,0,0,2,4,Orthodox,205,41,9,1,0,6,12,4,0,3,5,1,Orthodox,205,42.0,31.0,Experienced,Veteran
4222,Tim Sylvia,Andrei Arlovski,John McCarthy,7/8/2006,"Las Vegas, Nevada, USA",Red,True,Heavyweight,15,4,1,0,6,7,3,0,0,5,2,Orthodox,240,11,5,3,0,3,6,2,0,1,5,0,Orthodox,265,27.0,30.0,Experienced,Young Prospect
4223,Cheick Kongo,Gilbert Aldana,Yves Lavigne,7/8/2006,"Las Vegas, Nevada, USA",Red,False,Heavyweight,2,0,0,1,0,0,1,0,0,0,0,Orthodox,250,0,0,0,0,0,0,0,0,0,0,0,Orthodox,240,28.0,31.0,Experienced,Experienced
4224,Frank Mir,Dan Christison,Yves Lavigne,7/8/2006,"Las Vegas, Nevada, USA",Red,False,Heavyweight,3,0,1,0,1,1,0,0,0,0,1,Orthodox,265,9,1,2,0,4,6,2,0,0,1,4,Southpaw,264,34.0,27.0,Young Prospect,Experienced
4225,Joe Stevenson,Yves Edwards,John McCarthy,7/8/2006,"Las Vegas, Nevada, USA",Red,False,Lightweight,21,0,0,2,6,6,3,0,1,3,1,Southpaw,155,6,1,1,0,1,1,1,0,1,0,0,Orthodox,145,29.0,24.0,Young Prospect,Experienced
4226,Joshua Burkman,Josh Neer,Steve Mazzagatti,7/8/2006,"Las Vegas, Nevada, USA",Red,False,Welterweight,5,0,0,1,2,2,1,0,1,0,1,Orthodox,170,4,0,2,0,2,2,1,0,0,1,1,Orthodox,170,23.0,26.0,Young Prospect,Young Prospect
4227,Jonathan Goulet,Luke Cummo,Herb Dean,6/28/2006,"Las Vegas, Nevada, USA",Red,False,Welterweight,6,1,0,1,1,1,1,0,1,0,0,Orthodox,170,4,0,1,0,1,1,1,0,0,0,0,Orthodox,170,26.0,26.0,Young Prospect,Young Prospect
4228,Rashad Evans,Stephan Bonnar,Mario Yamasaki,6/28/2006,"Las Vegas, Nevada, USA",Red,False,LightHeavyweight,10,1,0,1,3,3,1,0,2,0,1,Orthodox,205,6,1,2,0,2,2,0,0,0,0,0,Orthodox,205,29.0,26.0,Young Prospect,Experienced
4229,Anderson Silva,Chris Leben,John McCarthy,6/28/2006,"Las Vegas, Nevada, USA",Red,False,Middleweight,9,0,5,0,5,5,0,0,1,2,1,Southpaw,185,0,0,0,0,0,0,0,0,0,0,0,Southpaw,185,25.0,31.0,Experienced,Young Prospect
4230,Jon Fitch,Thiago Alves,Mario Yamasaki,6/28/2006,"Las Vegas, Nevada, USA",Red,False,Welterweight,4,0,0,1,2,2,1,0,0,2,0,Orthodox,170,5,0,2,0,2,2,0,0,1,0,1,Orthodox,170,22.0,28.0,Experienced,Young Prospect
4231,Jason Lambert,Branden Lee Hinkle,Herb Dean,6/28/2006,"Las Vegas, Nevada, USA",Red,False,LightHeavyweight,2,0,1,0,1,1,1,0,0,1,0,Orthodox,235,3,0,2,0,2,2,0,0,0,1,1,Orthodox,185,32.0,31.0,Experienced,Experienced
4232,Josh Koscheck,Dave Menne,John McCarthy,6/28/2006,"Las Vegas, Nevada, USA",Red,False,Welterweight,11,2,2,0,2,2,2,0,2,0,0,Orthodox,170,6,0,2,0,2,3,1,0,0,1,2,Orthodox,170,31.0,28.0,Experienced,Experienced
4233,Jorge Santiago,Justin Levens,Mario Yamasaki,6/28/2006,"Las Vegas, Nevada, USA",Red,False,Middleweight,1,0,0,1,0,0,1,0,0,0,0,Orthodox,185,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170,26.0,25.0,Young Prospect,Young Prospect
4234,Kenny Florian,Sam Stout,John McCarthy,6/24/2006,"Las Vegas, Nevada, USA",Red,False,Lightweight,3,0,1,0,1,1,0,0,0,0,0,Orthodox,155,5,1,0,1,2,2,1,0,0,0,1,Southpaw,145,22.0,30.0,Experienced,Young Prospect
4235,Matt Hughes,Royce Gracie,John McCarthy,5/27/2006,"Los Angeles, California, USA",Red,False,CatchWeight,10,2,8,0,8,8,1,0,0,1,7,Southpaw,175,29,9,2,0,6,12,2,0,3,3,4,Switch,170,39.0,32.0,Experienced,Veteran
4236,Dean Lister,Alessio Sakara,Herb Dean,5/27/2006,"Los Angeles, California, USA",Red,False,LightHeavyweight,5,0,0,1,1,1,1,0,1,0,0,Orthodox,185,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185,24.0,30.0,Experienced,Young Prospect
4237,Brandon Vera,Assuerio Silva,John McCarthy,5/27/2006,"Los Angeles, California, USA",Red,False,Heavyweight,3,0,0,1,0,0,1,0,0,0,0,Orthodox,241,3,0,2,0,2,2,0,0,0,2,0,Orthodox,230,31.0,28.0,Experienced,Experienced
4238,Diego Sanchez,John Alessio,Steve Mazzagatti,5/27/2006,"Los Angeles, California, USA",Red,False,Welterweight,2,1,0,1,0,0,1,0,0,0,0,Orthodox,155,6,1,3,0,3,3,0,0,1,2,0,Southpaw,170,26.0,24.0,Young Prospect,Young Prospect
4239,Mike Swick,Joe Riggs,Mario Yamasaki,5/27/2006,"Los Angeles, California, USA",Red,False,Middleweight,9,0,1,0,1,3,2,0,1,1,0,Southpaw,185,3,0,3,0,3,3,0,0,0,2,1,Orthodox,170,23.0,26.0,Young Prospect,Young Prospect
4240,Jeremy Horn,Chael Sonnen,Herb Dean,5/27/2006,"Los Angeles, California, USA",Red,False,Middleweight,5,0,0,1,1,1,1,0,1,0,0,Southpaw,205,15,2,0,2,4,5,4,0,1,1,3,Orthodox,185,29.0,30.0,Experienced,Experienced
4241,Gabriel Gonzaga,Fabiano Scherner,Steve Mazzagatti,5/27/2006,"Los Angeles, California, USA",Red,False,Heavyweight,2,0,0,1,0,0,1,0,0,0,0,Orthodox,257,3,0,1,0,1,1,0,0,0,1,0,Orthodox,242,33.0,27.0,Young Prospect,Experienced
4242,Tim Sylvia,Andrei Arlovski,Herb Dean,4/15/2006,"Anaheim, California, USA",Red,True,Heavyweight,14,3,1,0,6,7,2,0,0,5,2,Orthodox,240,10,4,3,0,3,5,2,0,1,4,0,Orthodox,265,27.0,30.0,Experienced,Young Prospect
4243,Jeff Monson,Marcio Cruz,John McCarthy,4/15/2006,"Anaheim, California, USA",Red,False,Heavyweight,3,0,2,0,2,2,0,0,0,1,1,Orthodox,232,9,0,1,0,1,2,2,0,1,0,1,Orthodox,247,27.0,35.0,Experienced,Young Prospect
4244,Tito Ortiz,Forrest Griffin,John McCarthy,4/15/2006,"Anaheim, California, USA",Red,False,LightHeavyweight,5,1,3,0,3,3,0,0,1,1,1,Orthodox,205,38,9,1,0,6,11,4,0,3,5,1,Orthodox,205,27.0,31.0,Experienced,Young Prospect
4245,Sean Sherk,Nick Diaz,Marco Lopez,4/15/2006,"Anaheim, California, USA",Red,False,Welterweight,16,0,2,0,2,4,3,0,0,3,1,Southpaw,185,13,1,3,0,3,3,2,0,1,0,1,Orthodox,155,22.0,32.0,Experienced,Young Prospect
4246,Karo Parisyan,Nick Thompson,Mario Yamasaki,4/15/2006,"Anaheim, California, USA",Red,False,Welterweight,3,0,1,0,1,1,0,0,1,0,0,Orthodox,170,13,0,1,0,3,4,1,0,2,0,1,Orthodox,170,24.0,23.0,Young Prospect,Young Prospect
