R_fighter,B_fighter,Referee,date,location,Winner,title_bout,weight_class,B_avg_KD,B_avg_opp_KD,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Stance,B_Height_cms,B_Weight_lbs,R_avg_KD,R_avg_opp_KD,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Stance,R_Height_cms,R_Weight_lbs,B_age,R_age
Tamdan McCrory,Pete Spratt,Jorge Alonso,6/12/2007,"Hollywood, Florida, USA",Red,FALSE,Welterweight,0,0,381.1875,9,0,1,0,1,3,3,0,0,0,0,0,3,0,Orthodox,175.26,170,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switch,193.04,185,36,20
Anthony Johnson,Chad Reiner,Troy Waugh,6/12/2007,"Hollywood, Florida, USA",Red,FALSE,Welterweight,0,0,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,180.34,170,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,205,25,23
Forrest Petz,Luigi Fioravanti,Troy Waugh,6/12/2007,"Hollywood, Florida, USA",Red,FALSE,Welterweight,0.375,0,457.875,7,0,0,1,2,2,2,0,0,0,0,2,0,0,Orthodox,172.72,170,1.25,0,749.5,7,0,1,0,1,1,2,0,0,0,1,0,0,0,Orthodox,175.26,170,26,31
Spencer Fisher,Sam Stout,John McCarthy,6/12/2007,"Hollywood, Florida, USA",Red,FALSE,Lightweight,0,0,503,4,0,1,0,1,1,1,0,0,1,0,0,0,0,Orthodox,175.26,155,0.375,0,475.21875,11,0,2,0,2,4,2,0,0,0,0,2,1,1,Southpaw,170.18,155,23,31
Terry Martin,Ivan Salaverry,Mario Yamasaki,5/26/2007,"Las Vegas, Nevada, USA",Red,FALSE,Middleweight,0.125,0,605.4375,11,0,1,0,2,3,2,0,0,0,0,1,2,0,Orthodox,182.88,185,0.5,0.25,198.5,5,0,0,2,1,1,2,0,0,0,0,1,0,0,Orthodox,172.72,185,36,26
Quinton Jackson,Chuck Liddell,John McCarthy,5/26/2007,"Las Vegas, Nevada, USA",Red,TRUE,LightHeavyweight,1.323608398,0,573.7195129394531,34,6,1,0,7,15,2,0,0,0,5,9,0,1,Orthodox,187.96,205,1,0,529,2,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,185.42,205,37,28
Thiago Silva,James Irvin,Herb Dean,5/26/2007,"Las Vegas, Nevada, USA",Red,FALSE,LightHeavyweight,0.625,0.125,348.5,6,0,0,1,1,2,2,0,0,0,0,2,0,0,Orthodox,187.96,205,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,205,28,24
Alan Belcher,Sean Salmon,Steve Mazzagatti,5/26/2007,"Las Vegas, Nevada, USA",Red,FALSE,LightHeavyweight,0,1,366,2,0,0,1,0,0,1,0,0,0,0,0,0,0,Southpaw,177.8,185,0.25,0,707.25,8,0,0,1,1,1,2,0,0,0,0,1,0,0,Orthodox,187.96,185,29,23
Karo Parisyan,Joshua Burkman,Herb Dean,5/26/2007,"Las Vegas, Nevada, USA",Red,FALSE,Welterweight,0.25,0.125,755.125,10,0,2,0,2,4,1,0,0,0,2,1,1,0,Orthodox,177.8,170,0,0.0625,817.78125,20,0,1,0,4,6,2,0,0,1,3,1,1,0,Orthodox,177.8,170,27,24
Kalib Starnes,Chris Leben,Mario Yamasaki,5/26/2007,"Las Vegas, Nevada, USA",Red,FALSE,Middleweight,0.28125,0.25,431.8671875,14,0,5,0,5,6,2,0,0,1,1,3,1,0,Southpaw,180.34,185,0,0,438,4,0,1,0,1,1,1,0,0,0,0,0,1,0,Orthodox,190.5,185,26,32
Houston Alexander,Keith Jardine,Steve Mazzagatti,5/26/2007,"Las Vegas, Nevada, USA",Red,FALSE,LightHeavyweight,0.0625,0.125,566,12,0,2,0,2,4,1,0,0,0,2,2,0,0,Orthodox,187.96,185,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,205,31,35
Wilson Gouveia,Carmelo Marrero,Mario Yamasaki,5/26/2007,"Las Vegas, Nevada, USA",Red,FALSE,LightHeavyweight,0,0,551,4,0,1,0,1,1,1,0,0,1,0,0,0,0,Orthodox,182.88,205,0,0,445.25,6,0,0,1,2,2,1,0,0,0,0,0,2,0,Orthodox,185.42,185,26,28
Lyoto Machida,David Heath,Mario Yamasaki,4/21/2007,"Manchester, England, United Kingdom",Red,FALSE,LightHeavyweight,0,0,526,4,0,2,0,2,2,0,0,0,1,0,0,1,0,Orthodox,180.34,205,1,0,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Southpaw,185.42,185,31,28
Junior Assuncao,David Lee,Herb Dean,4/21/2007,"Manchester, England, United Kingdom",Red,FALSE,Lightweight,0,0,110,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,177.8,155,0,0,124,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,175.26,145,,25
Alessio Sakara,Victor Valimaki,Mario Yamasaki,4/21/2007,"Manchester, England, United Kingdom",Red,FALSE,LightHeavyweight,0,0,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,205,0.125,0.5,309.75,7,0,0,1,1,1,3,0,0,0,1,0,0,0,Orthodox,182.88,185,,25
Gabriel Gonzaga,Mirko Filipovic,Herb Dean,4/21/2007,"Manchester, England, United Kingdom",Red,FALSE,Heavyweight,1,0,273,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Southpaw,187.96,230,0.5,0,401.75,6,0,3,0,3,3,0,0,0,0,0,2,1,0,Orthodox,187.96,242,32,27
Cheick Kongo,Assuerio Silva,Mario Yamasaki,4/21/2007,"Manchester, England, United Kingdom",Red,FALSE,Heavyweight,0,0,529.5,4,0,0,2,0,0,2,0,0,0,0,0,0,0,Orthodox,177.8,241,0.25,0,556,5,0,2,0,2,2,1,0,0,0,0,1,0,1,Orthodox,193.04,240,32,31
Michael Bisping,Elvis Sinosic,Steve Mazzagatti,4/21/2007,"Manchester, England, United Kingdom",Red,FALSE,LightHeavyweight,0,0.25,634.875,10,1,1,0,1,1,5,0,0,0,0,0,1,0,Orthodox,190.5,205,1,0,409,3,1,2,0,2,2,0,0,0,0,0,2,0,0,Orthodox,185.42,185,36,28
Kendall Grove,Alan Belcher,John McCarthy,4/7/2007,"Houston, Texas, USA",Red,FALSE,Middleweight,0.5,0,832.5,6,0,0,1,1,1,1,0,0,0,0,1,0,0,Orthodox,187.96,185,0,0,569.5,4,1,2,0,2,2,0,0,0,0,1,1,0,0,Orthodox,198.12,185,22,24
Yushin Okami,Mike Swick,Mario Yamasaki,4/7/2007,"Houston, Texas, USA",Red,FALSE,Middleweight,0.125,0,503.5,7,0,5,0,5,5,0,0,0,0,1,2,2,0,Orthodox,185.42,170,0,0,821.5,9,0,3,0,3,3,0,0,0,0,1,2,0,0,Southpaw,187.96,170,27,25
Matt Serra,Georges St-Pierre,John McCarthy,4/7/2007,"Houston, Texas, USA",Red,TRUE,Welterweight,1.015625,0,532.8125,16,2,2,0,5,7,1,0,0,1,2,3,1,0,Orthodox,180.34,185,0.25,0.0078125,894.3242188,25,1,0,1,2,5,4,0,1,1,2,0,1,0,Orthodox,167.64000000000001,170,25,32
Josh Koscheck,Diego Sanchez,John McCarthy,4/7/2007,"Houston, Texas, USA",Red,FALSE,Welterweight,1,0,464.53125,13,1,6,0,6,6,0,0,0,0,3,3,0,0,Southpaw,177.8,170,0.25,0.03125,671.03125,13,0,2,0,4,6,1,0,0,0,2,2,2,0,Orthodox,177.8,170,25,29
Heath Herring,Brad Imes,Kerry Hatley,4/7/2007,"Houston, Texas, USA",Red,FALSE,Heavyweight,0,1,858.5,6,1,0,2,0,0,2,0,0,0,0,0,0,0,Orthodox,200.66,265,1,0,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,193.04,250,30,29
Marcus Davis,Pete Spratt,Kerry Hatley,4/7/2007,"Houston, Texas, USA",Red,FALSE,Welterweight,0,0,285.375,7,0,1,0,1,3,2,0,0,0,0,0,3,0,Orthodox,175.26,170,0.5,0,643.25,6,0,0,1,2,2,1,0,0,0,1,0,1,0,Southpaw,177.8,170,36,33
Thales Leites,Pete Sell,Mario Yamasaki,4/7/2007,"Houston, Texas, USA",Red,FALSE,Middleweight,0,1.25,477.75,6,0,1,0,1,1,2,0,0,0,0,0,1,0,Orthodox,180.34,170,1,1,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,185.42,185,24,25
Luke Cummo,Josh Haynes,Kerry Hatley,4/7/2007,"Houston, Texas, USA",Red,FALSE,Welterweight,0.5,1,727,5,1,0,2,0,0,2,0,0,0,0,0,0,0,Orthodox,175.26,170,1,0,900,9,1,0,1,1,1,2,0,0,0,1,0,0,0,Orthodox,182.88,170,29,26
Kuniyoshi Hironaka,Forrest Petz,John McCarthy,4/5/2007,"Las Vegas, Nevada, USA",Red,FALSE,Welterweight,2.5,0,599,4,0,1,0,1,1,1,0,0,0,1,0,0,0,Orthodox,175.26,170,0,0,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,177.8,168,31,30
Joe Stevenson,Melvin Guillard,Steve Mazzagatti,4/5/2007,"Las Vegas, Nevada, USA",Red,FALSE,Lightweight,1.25,0,296.625,6,0,1,0,2,3,1,0,0,0,0,2,0,1,Orthodox,175.26,155,0,0.375,438.5,9,1,1,0,2,3,1,0,0,0,1,0,1,1,Orthodox,170.18,145,24,24
Drew Fickett,Keita Nakamura,Steve Mazzagatti,4/5/2007,"Las Vegas, Nevada, USA",Red,FALSE,Welterweight,0,0,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Southpaw,180.34,170,0.0625,0,694.34375,12,0,0,1,2,3,3,0,0,0,0,0,3,0,Orthodox,177.8,155,22,27
Roan Carneiro,Rich Clementi,Yves Lavigne,4/5/2007,"Las Vegas, Nevada, USA",Red,FALSE,Welterweight,0,0.5,631,7,0,0,2,1,1,2,0,0,0,0,0,1,0,Southpaw,175.26,155,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,170,31,28
Kenny Florian,Dokonjonosuke Mishima,John McCarthy,4/5/2007,"Las Vegas, Nevada, USA",Red,FALSE,Lightweight,0,0,127,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Southpaw,170.18,155,0,0,858.6875,11,2,0,1,3,3,2,0,0,0,0,0,2,1,Southpaw,177.8,145,34,30
Justin McCully,Antoni Hardonk,Herb Dean,4/5/2007,"Las Vegas, Nevada, USA",Red,FALSE,Heavyweight,1,0,195,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,193.04,245,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,225,31,31
Wilson Gouveia,Seth Petruzelli,Yves Lavigne,4/5/2007,"Las Vegas, Nevada, USA",Red,FALSE,LightHeavyweight,1,0,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,205,0,0,551.5,4,0,0,1,1,1,1,0,0,0,0,0,1,0,Orthodox,185.42,185,27,28
Matt Hughes,Chris Lytle,Mark Matheny,3/3/2007,"Columbus, Ohio, USA",Red,FALSE,Welterweight,0.0625,0.015625,727.46875,17,1,0,2,2,2,5,0,0,0,0,0,2,0,Orthodox,180.34,170,0,1.03137207,471.5893859863281,35,11,2,0,6,14,3,0,0,0,3,5,4,2,Switch,175.26,170,32,33
Randy Couture,Tim Sylvia,John McCarthy,3/3/2007,"Columbus, Ohio, USA",Red,TRUE,Heavyweight,0.162109375,0.140625,1213.695313,21,7,3,0,5,8,2,0,0,0,3,5,0,0,Orthodox,203.2,265,0,0.625488281,468.3432922363281,42,13,7,0,7,11,5,0,1,0,2,5,2,1,Orthodox,185.42,205,30,43
Jon Fitch,Luigi Fioravanti,Mark Matheny,3/3/2007,"Columbus, Ohio, USA",Red,FALSE,Welterweight,0.75,0,430.75,5,0,0,1,2,2,1,0,0,0,0,2,0,0,Orthodox,172.72,170,0.375,0,781.375,10,0,4,0,4,4,0,0,0,0,2,1,1,0,Orthodox,182.88,170,26,29
Rich Franklin,Jason MacDonald,Herb Dean,3/3/2007,"Columbus, Ohio, USA",Red,FALSE,Middleweight,0,0,353,3,0,2,0,2,2,0,0,0,0,0,0,2,0,Orthodox,190.5,185,0.78125,0.8125,574.3671875,17,4,7,0,7,7,1,0,0,0,1,4,1,1,Southpaw,185.42,185,31,32
Gleison Tibau,Jason Dent,Herb Dean,3/3/2007,"Columbus, Ohio, USA",Red,FALSE,Lightweight,0,0,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,177.8,155,0,0,447,2,0,0,1,0,0,1,0,0,0,0,0,0,0,Southpaw,177.8,155,26,23
Martin Kampmann,Drew McFedries,Herb Dean,3/3/2007,"Columbus, Ohio, USA",Red,FALSE,Middleweight,1,0,247,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Southpaw,182.88,185,0.5,0.5,539.5,4,0,2,0,2,2,0,0,0,0,1,0,1,0,Orthodox,182.88,170,28,24
Jason Lambert,Renato Sobral,John McCarthy,3/3/2007,"Columbus, Ohio, USA",Red,FALSE,LightHeavyweight,0,1.03125,184.09375,16,1,1,0,3,5,3,0,1,0,1,0,3,0,Orthodox,185.42,205,0.125,0,367.375,6,0,3,0,3,3,1,0,0,0,0,2,1,0,Orthodox,190.5,185,31,31
Mirko Filipovic,Eddie Sanchez,Steve Mazzagatti,2/3/2007,"Las Vegas, Nevada, USA",Red,FALSE,Heavyweight,1,0,317,2,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,187.96,230,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,187.96,230,24,32
Terry Martin,Jorge Rivera,Herb Dean,2/3/2007,"Las Vegas, Nevada, USA",Red,FALSE,Middleweight,0.53125,0.3125,302.65625,12,0,1,0,1,3,3,0,0,0,2,1,0,0,Orthodox,185.42,185,0,0.5,383,4,0,0,2,0,0,2,0,0,0,0,0,0,0,Orthodox,172.72,185,34,26
Quinton Jackson,Marvin Eastman,John McCarthy,2/3/2007,"Las Vegas, Nevada, USA",Red,FALSE,LightHeavyweight,0,1,200,3,0,0,2,0,0,2,0,0,0,0,0,0,0,Orthodox,175.26,185,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,205,35,28
Patrick Cote,Scott Smith,Yves Lavigne,2/3/2007,"Las Vegas, Nevada, USA",Red,FALSE,Middleweight,1,0,346.5,3,0,0,1,1,1,1,0,0,0,0,1,0,0,Orthodox,182.88,185,0.25,0,500.875,10,1,0,4,0,0,4,0,0,0,0,0,0,0,Orthodox,180.34,170,27,26
